;;;;;;;;;;;;;;;;;;;;;;;;
Famille;Brand;juin-08;juil.-08;août-08;sept.-08;oct.-08;nov.-08;déc.-08;janv.-09;févr.-09;mars-09;avr.-09;mai-09;TOTAL;demande moyenne;Niveau de service;Temps de Transport (jours);Temps de procès (jours);Délai de livraison (jours);Périodicité de commande (jours);Stock de sécurité (TN);couverture (semaine);Niveau de recomplétement (TN);Stock d'alerte (TN)
50ml;Rexona; 0,07   ; 0,11   ; 0,04   ;-0,05   ; 0,02   ; 0,15   ; 0,03   ; 0,03   ; 0,02   ; 0,04   ; 0,04   ; 0,05   ; 0,55   ; 0,05   ;95%;1;0,5;2;15;0,03;2,21;0,06; 0,03   
100ml;Signal;-0,06   ; 0,18   ;-0,00   ; 0,05   ; 0,03   ; 0,00   ; 0,01   ; 0,04   ; 0,04   ; 0,08   ; 0,06   ; 0,09   ; 0,52   ; 0,04   ;95%;1;0,5;2;15;0,03;2,88;0,07; 0,04   
Harira;Soupe; 0,01   ;-0,02   ; 0,14   ; 0,38   ; 0,02   ;-0,18   ; 0,10   ; 0,02   ; 0,02   ;; 0,00   ; 0,01   ; 0,49   ; 0,04   ;95%;1;0,5;2;15;0,07;6,36;0,11; 0,08   
400ml;Dove shmp;;;;;; 0,10   ; 0,05   ; 0,08   ; 0,01   ; 0,01   ;; 0,16   ; 0,40   ; 0,07   ;95%;1;0,5;2;15;0,03;1,80;0,09; 0,04   
400ml;Sunsilk shmp;;-0,04   ; 1,39   ;-1,17   ;-0,01   ; 0,17   ;-0,08   ; 0,01   ; 0,02   ; 0,01   ; -     ; 0,02   ; 0,34   ; 0,03   ;95%;1;0,5;2;15;0,30;39,01;0,33; 0,30   
Freshtouch;Dove Crm;-0,01   ;-0,01   ; 0,04   ;-0,01   ; 0,02   ; 0,01   ; 0,03   ; 0,03   ; 0,02   ; 0,06   ; 0,02   ; 0,11   ; 0,32   ; 0,03   ;95%;1;0,5;2;15;0,02;2,63;0,04; 0,02   
200ml;Sunsilk creme;;;;;; 0,02   ; 0,02   ; 0,01   ; 0,03   ; 0,00   ; 0,01   ; 0,01   ; 0,08   ; 0,01   ;95%;1;0,5;2;15;0,00;1,56;0,01; 0,01   
30ml;Dove Crm;-0,00   ;-0,10   ; 0,10   ;-0,09   ; 0,01   ; 0,02   ; 0,02   ; 0,01   ; 0,01   ; 0,01   ; 0,01   ; 0,03   ; 0,01   ; 0,00   ;95%;1;0,5;2;15;0,03;101,82;0,03; 0,03   
175ml;Dove deo; 0,00   ;-0,09   ; 0,09   ;-0,09   ; 0,00   ; 0,00   ; 0,00   ; 0,00   ; 0,08   ;-0,08   ; -     ; 0,00   ;-0,07   ;-0,01   ;95%;1;0,5;2;15;0,03;-21,80;0,03; 0,03   
300ml;Sunsilk creme; -     ;-0,13   ; 0,12   ;-0,12   ; -     ; -     ; 0,00   ; 0,01   ; 0,03   ; 0,00   ; 0,01   ; 0,01   ;-0,08   ;-0,01   ;95%;1;0,5;2;15;0,03;-19,02;0,03; 0,03   
30*6 sachets;SEAS;;;-0,00   ;-0,04   ; 0,02   ;-0,39   ;; -     ;;;;-0,17   ;-0,59   ;-0,10   ;95%;1;0,5;2;15;0,08;-3,41;0,00; 0,07   
